"vessel_name","MMSI","quarter","Place.of.registration.name","vlength","port","X","Y"
"AGOSTINO IMPERATO",247092790,1,"Roma","VL1824","FIUMICINO",12.2207031250001,41.7708740230001
"ANTONIO FRANCESCA M.",247093030,1,NA,NA,"FIUMICINO",12.2207031250001,41.7708740230001
"BISMARK",247092770,1,NA,NA,"FIUMICINO",12.2207031250001,41.7708740230001
"GIACOMO",247093040,1,"Roma","VL1824","FIUMICINO",12.2207031250001,41.7708740230001
"IMPERO ROMANO",247094320,2,"Roma","VL1824","FIUMICINO",12.2207031250001,41.7708740230001
"JAMAICA",247092810,1,"Roma","VL1824","FIUMICINO",12.2207031250001,41.7708740230001
"L ALBA",247119090,1,NA,NA,"FIUMICINO",12.2207031250001,41.7708740230001
"M/P SS. TRINITA",247094260,1,NA,NA,"FIUMICINO",12.2207031250001,41.7708740230001
"MARIA",247093060,1,"Roma","VL1824","FIUMICINO",12.2207031250001,41.7708740230001
"MARIAMADRE",247092830,1,NA,NA,"FIUMICINO",12.2207031250001,41.7708740230001
"MARIANNA",247093010,1,"Roma","VL1824","FIUMICINO",12.2207031250001,41.7708740230001
"MP CLAUDIO PADRE",247123920,1,NA,NA,"FIUMICINO",12.2207031250001,41.7708740230001
"MP FRANCESCO PADRE",247099360,1,NA,NA,"FIUMICINO",12.2207031250001,41.7708740230001
"MP NUOVA LUCIA",247892860,1,NA,NA,"FIUMICINO",12.2207031250001,41.7708740230001
"M\P S. PIETRO I",247149790,4,NA,NA,"FIUMICINO",12.2207031250001,41.7708740230001
"NONNO CIRO",247092850,1,"Roma","VL1824","FIUMICINO",12.2207031250001,41.7708740230001
"S.VINCENZO",247092920,1,NA,NA,"FIUMICINO",12.2207031250001,41.7708740230001
"SAN.PIETRO I",247149790,1,NA,NA,"FIUMICINO",12.2207031250001,41.7708740230001
"ARDITO",247044930,1,"Santa Margherita Ligure","VL1824","CHIAVARI",9.34481796800009,44.3062986360001
"JAZZ",247200190,1,"Sestri Levante","VL1218","CHIAVARI",9.34481796800009,44.3062986360001
"FURORE",247101230,2,"Porto Santo Stefano","VL1824","PORTO SANTO STEFANO",11.125305176,42.436096191
"CESARINA",247220290,1,"Piombino","VL1218","PIOMBINO",10.5452880860001,42.9302978520001
"MISS MARY",247066930,3,"Livorno","VL1218","LIVORNO",10.3030760000001,43.5636405
"FRANCESCO GIACALONE",247147190,4,"Mazara Del Vallo","VL2440","PORTOFERRAIO",10.3239135740001,42.813720703
"LIBERA",247096930,2,"Porto Santo Stefano","VL1824","PORTO SANTO STEFANO",11.125305176,42.436096191
